Date,Price,Security
31/10/2019 16:00:00,"33,93",AMD
1/11/2019 16:00,"34,89",AMD
4/11/2019 16:00,"36,29",AMD
5/11/2019 16:00,"36,15",AMD
6/11/2019 16:00,"35,93",AMD
7/11/2019 16:00,"36,28",AMD
8/11/2019 16:00,"36,29",AMD
11/11/2019 16:00,"36,31",AMD
12/11/2019 16:00,"36,71",AMD
13/11/2019 16:00:00,"37,52",AMD
14/11/2019 16:00:00,"38,35",AMD
15/11/2019 16:00:00,"38,56",AMD
18/11/2019 16:00:00,"39,88",AMD
19/11/2019 16:00:00,"41,29",AMD
20/11/2019 16:00:00,"40,98",AMD
21/11/2019 16:00:00,"39,52",AMD
22/11/2019 16:00:00,"39,15",AMD
25/11/2019 16:00:00,"39,79",AMD
26/11/2019 16:00:00,"38,99",AMD
27/11/2019 16:00:00,"39,41",AMD
29/11/2019 13:00:00,"39,15",AMD
2/12/2019 16:00,"38,73",AMD
3/12/2019 16:00,"38,9",AMD
4/12/2019 16:00,"39,69",AMD
5/12/2019 16:00,"39,62",AMD
6/12/2019 16:00,"39,63",AMD
9/12/2019 16:00,"38,93",AMD
10/12/2019 16:00,"39,44",AMD
11/12/2019 16:00,"39,47",AMD
12/12/2019 16:00,"42,59",AMD
13/12/2019 16:00:00,"41,15",AMD
16/12/2019 16:00:00,"42,35",AMD
17/12/2019 16:00:00,"42,77",AMD
18/12/2019 16:00:00,"42,3",AMD
19/12/2019 16:00:00,"42,83",AMD
20/12/2019 16:00:00,"44,15",AMD
23/12/2019 16:00:00,"45,46",AMD
24/12/2019 13:00:00,"46,54",AMD
26/12/2019 16:00:00,"46,63",AMD
27/12/2019 16:00:00,"46,18",AMD
30/12/2019 16:00:00,"45,52",AMD
31/12/2019 16:00:00,"45,86",AMD
2/1/2020 16:00,"49,1",AMD
3/1/2020 16:00,"48,6",AMD
6/1/2020 16:00,"48,39",AMD
7/1/2020 16:00,"48,25",AMD
8/1/2020 16:00,"47,83",AMD
9/1/2020 16:00,"48,97",AMD
10/1/2020 16:00,"48,17",AMD
13/01/2020 16:00:00,"48,75",AMD
14/01/2020 16:00:00,"48,21",AMD
15/01/2020 16:00:00,"48,55",AMD
16/01/2020 16:00:00,"49,77",AMD
17/01/2020 16:00:00,"50,93",AMD
21/01/2020 16:00:00,"51,05",AMD
22/01/2020 16:00:00,"51,43",AMD
23/01/2020 16:00:00,"51,71",AMD
24/01/2020 16:00:00,"50,35",AMD
27/01/2020 16:00:00,"49,26",AMD
28/01/2020 16:00:00,"50,53",AMD
29/01/2020 16:00:00,"47,51",AMD
30/01/2020 16:00:00,"48,78",AMD
31/01/2020 16:00:00,47,AMD
3/2/2020 16:00,"48,02",AMD
