"x"
7,63019871586188
7,90188781364279
16,9674137348787
5,070219108077
4,06823543881773
11,8674396741121
12,1572938313452
21,9277308894348
15,4477305889699
10,1656692472989
11,810184100676
9,36473985666096
24,3523679916367
8,55567765575458
19,9114074812521
10,638646462469
13,1916489529151
10,4861615008242
15,4056994511251
17,41799492544
8,67160211328269
14,7052432778644
12,5465928313428
6,43918463986508
5,18235431089435
6,46548258372179
11,0367021670943
12,3644075031545
4,57620749783317
10,8762164205109
13,0878812489643
8,20215445508993
8,78851174292276
6,70354426113953
14,8607769310874
9,62982690430607
8,92802807493215
10,9884065442864
3,59196595865439
11,0420970092568
7,82921060401483
12,1701332366681
11,5546570728977
6,50734658962187
10,5334931577563
24,483498490695
13,4555225320365
16,6763081320051
8,62654964020315
10,5590185643068
11,272569760749
6,42708286960808
17,0093326294069
15,2963994603813
11,4050033961172
7,75474237517854
6,36817142257736
15,4044285369948
13,772313262833
10,512937891265
14,9323168964404
13,9152455763273
12,3874610281556
4,68252087423693
10,6576636215599
18,026454928817
13,1497020087035
11,439563904317
2,31827512970758
2,68077145765883
27,0456429185349
12,9857964337285
6,64761702335277
8,952029531033
23,3743466796397
15,3235378176244
13,8144252113279
5,93040891100088
8,17115975440175
16,20833969895
8,11091036651647
24,5160909321401
7,48102543327359
14,3404363772748
14,5015570539034
7,15964723451871
6,67039536484607
8,86612646145694
15,231462907087
11,605513344131
4,55146170243686
4,41719400394548
8,59410865828833
13,235310783082
5,64304012005108
11,582649281731
6,09215810182888
5,00933263374113
5,09856348275491
5,58400656351828
