"","id_member","fecha_compra","gasto","store","nps"
"1",2563,2020-01-01,78,"tienda_4","5"
"2",3508,2020-01-01,87,"tienda_2","7"
"3",5209,2020-01-01,87,"tienda_4","7"
"4",3562,2020-01-01,78,"tienda_2"," "
"5",2644,2020-01-01,72,"tienda_2","9"
"6",1591,2020-01-01,87,"tienda_5"," "
"7",1780,2020-01-01,69,"tienda_5","7"
"8",1888,2020-01-01,87,"tienda_3","7"
"9",5182,2020-01-01,81,"tienda_2","10"
"10",1240,2020-01-01,72,"tienda_1","9"
"11",5182,2020-01-01,69,"tienda_4","7"
"12",2779,2020-01-01,72,"tienda_5","9"
"13",3076,2020-01-01,69,"tienda_3"," "
"14",4966,2020-01-01,69,"tienda_1","9"
"15",5344,2020-01-01,75,"tienda_1","6"
"16",2887,2020-01-01,84,"tienda_1","9"
"17",4291,2020-01-01,115,"tienda_3","9"
"18",3643,2020-01-01,143,"tienda_2","10"
"19",5398,2020-01-01,155,"tienda_1","5"
"20",1132,2020-01-01,163,"tienda_4"," "
"21",2347,2020-01-01,107,"tienda_4"," "
"22",1213,2020-01-01,151,"tienda_4","10"
"23",3778,2020-01-01,171,"tienda_2","9"
"24",3130,2020-01-01,123,"tienda_2","7"
"25",1267,2020-01-01,119,"tienda_2","9"
"26",1942,2020-01-01,155,"tienda_2","10"
"27",3913,2020-01-01,171,"tienda_5","5"
"28",1132,2020-01-01,119,"tienda_3"," "
"29",2671,2020-01-01,103,"tienda_2","7"
"30",1942,2020-01-01,143,"tienda_3","8"
"31",3643,2020-01-01,123,"tienda_5"," "
"32",4426,2020-01-01,167,"tienda_1","7"
"33",1321,2020-01-01,143,"tienda_5"," "
"34",3616,2020-01-01,163,"tienda_5","10"
"35",1051,2020-01-01,171,"tienda_2","7"
"36",1429,2020-01-01,175,"tienda_2","8"
"37",2860,2020-01-01,163,"tienda_2","7"
"38",2293,2020-01-01,175,"tienda_3","9"
"39",4939,2020-01-01,155,"tienda_3","9"
"40",4480,2020-01-01,167,"tienda_1","7"
"41",5263,2020-01-01,115,"tienda_1"," "
"42",3022,2020-01-01,131,"tienda_2"," "
"43",4966,2020-01-01,139,"tienda_2","10"
"44",4345,2020-01-01,127,"tienda_3","7"
"45",2968,2020-01-01,111,"tienda_4","9"
"46",2239,2020-01-01,143,"tienda_4","6"
"47",5155,2020-01-01,115,"tienda_5","7"
"48",1402,2020-01-01,107,"tienda_4"," "
"49",862,2020-01-01,159,"tienda_4","10"
"50",1132,2020-01-01,175,"tienda_2","5"
"51",5290,2020-01-01,171,"tienda_2","6"
"52",2914,2020-01-01,259,"tienda_2"," "
"53",5209,2020-01-01,227,"tienda_3","8"
"54",1969,2020-01-01,239,"tienda_3","10"
"55",5020,2020-01-01,363,"tienda_2","6"
"56",916,2020-01-01,103,"tienda_4","9"
"57",5047,2020-01-01,219,"tienda_1","7"
"58",2644,2020-01-01,219,"tienda_2"," "
"59",4993,2020-01-01,287,"tienda_4"," "
"60",970,2020-01-01,339,"tienda_2","8"
"61",2698,2020-01-01,327,"tienda_1","9"
"62",2698,2020-01-01,335,"tienda_4","9"
"63",3751,2020-01-01,295,"tienda_1","6"
"64",3724,2020-01-01,279,"tienda_5","9"
"65",3103,2020-01-01,283,"tienda_4","6"
"66",4534,2020-01-01,359,"tienda_5","6"
"67",3292,2020-01-01,171,"tienda_4","9"
"68",2752,2020-01-01,323,"tienda_4"," "
"69",2023,2020-01-01,183,"tienda_4"," "
"70",4156,2020-01-01,327,"tienda_4","10"
"71",5209,2020-01-01,183,"tienda_1"," "
"72",4318,2020-01-02,81,"tienda_4","6"
"73",5101,2020-01-02,78,"tienda_1"," "
"74",943,2020-01-02,75,"tienda_5","8"
"75",5398,2020-01-02,87,"tienda_1"," "
"76",5371,2020-01-02,75,"tienda_2","6"
"77",4534,2020-01-02,75,"tienda_5","6"
"78",4750,2020-01-02,78,"tienda_3"," "
"79",3211,2020-01-02,87,"tienda_4","6"
"80",5128,2020-01-02,78,"tienda_3","9"
"81",2428,2020-01-02,75,"tienda_1","9"
"82",970,2020-01-02,78,"tienda_1"," "
"83",2266,2020-01-02,72,"tienda_5","10"
"84",3103,2020-01-02,87,"tienda_2","10"
"85",3562,2020-01-02,72,"tienda_2","10"
"86",1915,2020-01-02,81,"tienda_2","5"
"87",2185,2020-01-02,127,"tienda_5"," "
"88",2914,2020-01-02,107,"tienda_4","6"
"89",4021,2020-01-02,167,"tienda_3","7"
"90",5209,2020-01-02,139,"tienda_1","7"
"91",4102,2020-01-02,159,"tienda_5","5"
"92",4777,2020-01-02,171,"tienda_4","7"
"93",2779,2020-01-02,107,"tienda_3"," "
"94",4183,2020-01-02,143,"tienda_5"," "
"95",1672,2020-01-02,135,"tienda_2"," "
"96",1699,2020-01-02,135,"tienda_4","9"
"97",1213,2020-01-02,131,"tienda_4","5"
"98",4345,2020-01-02,155,"tienda_4","6"
"99",889,2020-01-02,111,"tienda_3","8"
"100",5182,2020-01-02,139,"tienda_3","9"
"101",4534,2020-01-02,163,"tienda_5","10"
"102",3076,2020-01-02,107,"tienda_1","6"
"103",1672,2020-01-02,131,"tienda_4","9"
"104",3859,2020-01-02,147,"tienda_3"," "
"105",2617,2020-01-02,215,"tienda_3","5"
"106",2077,2020-01-02,187,"tienda_2","5"
"107",2266,2020-01-02,135,"tienda_5","9"
"108",3454,2020-01-02,203,"tienda_2","5"
"109",3805,2020-01-02,111,"tienda_3","10"
